X,Y,Z
432,264,-487
434,252,-475
451,253,-484
439,259,-476
432,256,-489
426,264,-476
424,253,-485
429,270,-479
437,259,-480
431,256,-475
439,268,-490
430,263,-479
445,257,-486
437,250,-482
438,260,-476
441,252,-492
438,263,-482
436,262,-471
444,269,-482
434,263,-471
445,263,-479
443,263,-475
423,272,-468
433,270,-475
431,276,-480
440,268,-469
436,268,-482
434,270,-483
436,266,-477
436,266,-474
442,264,-484
433,279,-475
445,273,-478
419,266,-489
424,278,-470
436,278,-484
430,273,-479
433,277,-479
428,264,-483
444,288,-489
429,268,-476
428,279,-469
438,272,-484
434,267,-481
428,281,-488
430,278,-471
426,286,-468
434,275,-476
437,278,-478
437,275,-480
435,273,-481
433,279,-478
436,279,-477
440,275,-479
428,276,-484
434,276,-486
443,268,-478
418,284,-487
427,285,-485
425,276,-485
430,285,-483
440,276,-483
426,273,-469
434,270,-479
422,273,-471
433,276,-476
420,284,-481
437,284,-481
429,276,-488
444,276,-486
425,288,-481
424,285,-486
430,282,-486
430,282,-477
427,279,-485
425,281,-485
429,270,-481
425,272,-485
417,276,-473
436,290,-482
427,279,-483
430,286,-492
431,281,-471
431,293,-482
426,279,-476
424,274,-483
429,295,-479
427,305,-480
417,303,-464
435,296,-475
432,301,-482
421,286,-470
429,305,-470
426,296,-477
429,307,-474
424,299,-477
421,301,-473
425,309,-480
423,300,-470
422,308,-471
428,308,-477
421,298,-474
415,306,-478
432,307,-469
432,303,-481
422,311,-471
419,299,-475
429,305,-474
423,307,-468
426,294,-472
426,286,-478
416,303,-476
419,301,-470
433,297,-477
420,304,-465
427,299,-482
424,286,-477
426,310,-483
417,300,-473
427,296,-483
426,314,-486
424,321,-464
422,297,-468
430,298,-478
433,316,-475
418,308,-473
415,308,-476
424,308,-475
424,300,-468
417,300,-476
419,308,-468
428,308,-471
424,310,-472
422,311,-479
421,308,-467
426,300,-474
425,304,-480
420,309,-476
416,303,-477
425,303,-470
426,297,-478
429,302,-466
424,309,-466
431,304,-465
417,302,-467
424,289,-475
416,301,-465
418,299,-470
430,303,-479
416,300,-474
427,291,-469
420,288,-463
423,309,-481
426,300,-473
429,293,-471
414,320,-458
417,298,-482
425,301,-475
421,307,-477
426,301,-466
415,324,-474
411,297,-468
429,299,-480
427,300,-482
421,320,-472
419,306,-473
413,304,-457
417,305,-476
438,302,-473
418,305,-480
421,300,-476
418,302,-476
423,303,-470
423,307,-467
424,305,-472
423,296,-468
427,311,-470
420,309,-468
432,302,-466
415,303,-479
433,305,-473
431,297,-484
408,312,-467
415,294,-479
422,302,-466
417,312,-468
421,317,-472
432,293,-468
419,299,-480
420,303,-476
424,305,-469
434,294,-469
422,298,-466
424,306,-472
418,301,-478
432,309,-481
428,294,-468
426,309,-464
417,301,-472
435,311,-477
428,302,-480
413,303,-469
418,300,-471
431,314,-467
419,303,-471
427,297,-474
425,306,-473
420,309,-472
429,304,-480
432,300,-480
429,304,-463
437,306,-473
429,308,-478
423,302,-470
418,324,-467
428,307,-476
418,304,-478
420,319,-459
427,294,-469
429,304,-475
409,308,-478
425,306,-481
429,295,-471
429,297,-471
412,306,-477
417,296,-467
426,298,-470
419,306,-473
427,297,-470
427,301,-481
407,305,-473
431,304,-471
429,310,-476
419,297,-484
431,304,-474
418,307,-477
428,304,-470
425,308,-469
415,314,-480
420,308,-473
414,311,-464
428,315,-482
420,313,-478
426,309,-475
423,310,-481
418,310,-477
432,308,-472
428,301,-475
429,293,-468
430,307,-473
431,307,-483
423,306,-473
429,303,-470
432,309,-470
430,299,-470
437,307,-475
437,308,-477
439,317,-472
436,314,-465
441,313,-475
454,298,-472
451,299,-470
452,307,-469
444,300,-474
449,296,-467
434,318,-481
458,312,-473
448,313,-480
449,311,-478
443,309,-473
454,301,-479
449,304,-465
449,311,-483
448,320,-474
449,303,-474
452,303,-467
448,314,-467
463,310,-475
437,300,-475
450,305,-470
457,310,-477
437,304,-470
439,298,-478
448,316,-479
449,314,-482
451,317,-468
445,298,-484
446,299,-473
453,309,-474
456,315,-476
450,295,-473
454,313,-479
452,303,-487
453,309,-479
445,317,-485
442,305,-477
451,305,-468
446,316,-482
446,303,-476
456,296,-469
441,317,-458
438,305,-463
452,304,-468
444,295,-479
439,295,-478
454,310,-478
447,303,-468
455,303,-473
454,296,-472
446,308,-469
442,308,-479
447,304,-476
451,302,-474
437,298,-472
445,311,-487
442,294,-482
438,309,-482
448,307,-484
438,309,-468
460,311,-469
446,315,-469
439,302,-467
445,306,-479
442,314,-475
461,302,-474
453,299,-471
436,303,-473
445,309,-462
453,312,-464
458,316,-483
453,308,-471
444,300,-482
443,301,-460
441,302,-475
440,316,-473
450,314,-469
456,304,-472
450,304,-477
439,311,-469
443,316,-468
450,296,-470
450,304,-476
437,312,-464
440,305,-480
442,312,-475
452,316,-477
446,307,-464
436,307,-465
445,308,-461
440,314,-473
448,322,-470
439,325,-473
437,325,-463
433,322,-466
444,314,-477
442,329,-461
443,329,-466
454,316,-473
441,314,-461
439,314,-471
435,318,-475
440,315,-461
445,313,-466
445,312,-461
440,335,-462
446,305,-468
438,332,-464
440,316,-465
441,323,-468
441,321,-476
429,336,-466
429,324,-468
441,324,-473
438,323,-472
444,317,-470
428,325,-456
446,314,-463
440,329,-462
442,317,-466
440,321,-469
438,326,-466
442,328,-466
450,328,-469
433,320,-456
448,329,-461
439,326,-466
445,328,-458
451,330,-475
449,329,-476
431,335,-470
437,326,-467
444,330,-466
454,317,-463
446,347,-469
442,331,-462
436,332,-457
447,333,-460
445,319,-472
431,315,-472
429,324,-474
451,322,-471
438,323,-473
452,322,-475
452,322,-468
450,324,-466
441,313,-465
445,330,-455
443,322,-460
437,333,-454
439,320,-464
449,325,-469
442,335,-458
441,327,-459
442,331,-466
444,326,-464
441,319,-472
440,317,-465
444,330,-464
442,328,-473
449,335,-462
442,327,-458
447,326,-463
436,319,-472
448,332,-470
434,326,-453
446,327,-465
448,317,-463
441,316,-455
446,332,-454
443,333,-457
433,328,-464
447,325,-473
449,308,-467
446,323,-470
438,326,-467
455,326,-462
448,315,-459
443,322,-469
445,343,-458
441,332,-459
459,327,-462
452,327,-463
444,325,-453
446,326,-473
437,323,-477
442,328,-471
446,333,-457
443,330,-475
443,320,-469
444,334,-465
445,331,-476
437,331,-470
453,319,-468
452,332,-475
445,342,-471
439,328,-457
446,322,-455
447,335,-462
441,327,-464
442,325,-459
444,337,-469
445,321,-466
451,327,-472
446,323,-454
435,316,-466
442,336,-458
457,318,-461
454,314,-462
440,335,-465
449,339,-476
458,326,-458
448,333,-472
445,320,-465
443,327,-474
455,320,-460
451,326,-468
453,332,-462
449,326,-462
445,326,-459
459,336,-472
440,323,-462
450,332,-464
433,335,-465
449,325,-463
441,331,-458
452,331,-456
440,331,-462
446,322,-462
449,328,-461
452,328,-462
448,327,-459
442,328,-468
452,332,-458
443,321,-456
445,334,-462
452,338,-465
445,325,-463
450,327,-455
441,332,-460
449,323,-458
441,320,-459
442,339,-478
447,335,-462
446,335,-467
451,325,-458
455,321,-462
447,326,-469
437,319,-476
457,330,-464
451,335,-467
438,334,-456
454,334,-461
446,328,-464
454,331,-463
447,332,-458
440,317,-447
447,323,-462
448,326,-462
441,335,-469
438,331,-456
448,329,-460
444,332,-454
455,326,-461
442,334,-467
454,330,-467
441,325,-462
438,317,-463
436,319,-463
448,326,-460
446,338,-468
442,334,-458
448,324,-460
439,327,-457
451,335,-461
442,321,-447
448,330,-459
447,321,-470
449,324,-459
455,336,-460
452,323,-467
456,334,-458
458,322,-460
449,329,-463
444,328,-456
448,334,-455
447,329,-456
447,337,-451
436,333,-465
438,333,-456
453,325,-461
455,326,-462
459,333,-465
439,324,-470
439,335,-469
450,332,-466
457,333,-464
446,338,-464
443,330,-455
446,335,-469
442,342,-463
458,326,-448
443,315,-455
457,334,-460
430,334,-459
452,331,-455
450,331,-460
445,332,-455
445,332,-458
447,321,-456
438,334,-469
446,344,-461
447,341,-469
448,338,-460
443,336,-480
457,320,-458
439,343,-459
446,336,-467
448,336,-458
450,328,-467
454,321,-460
444,333,-451
437,334,-455
445,336,-457
430,333,-463
453,324,-460
445,330,-463
447,333,-459
446,333,-455
446,338,-456
457,327,-456
448,330,-464
453,344,-463
449,331,-457
448,328,-469
444,343,-466
451,334,-461
459,343,-461
450,337,-460
452,328,-466
458,328,-463
437,325,-461
456,338,-469
456,336,-462
445,322,-466
453,323,-454
457,327,-454
448,322,-455
449,316,-458
450,337,-459
448,332,-452
441,329,-455
454,326,-459
439,333,-457
451,338,-466
445,339,-457
453,348,-457
450,330,-461
455,348,-463
454,338,-472
449,333,-462
447,345,-453
458,333,-459
446,332,-462
456,331,-464
442,348,-473
444,324,-467
449,326,-471
448,327,-465
450,332,-460
439,345,-456
448,331,-470
436,321,-456
456,339,-464
446,322,-463
449,331,-451
443,345,-465
446,333,-452
448,321,-458
454,329,-459
448,328,-456
442,325,-471
443,334,-460
450,326,-468
447,341,-464
439,329,-463
446,328,-451
452,336,-461
448,331,-469
446,338,-469
440,329,-454
437,341,-460
449,343,-457
445,340,-463
446,336,-456
455,324,-461
452,327,-461
447,329,-463
448,339,-462
441,337,-457
439,336,-460
438,334,-471
448,343,-451
437,331,-465
452,326,-467
449,332,-451
443,340,-462
455,332,-464
453,337,-461
441,328,-458
451,327,-457
450,328,-454
459,339,-462
451,336,-461
455,332,-455
447,328,-459
443,337,-453
452,342,-465
460,341,-456
441,342,-455
456,343,-464
444,336,-448
459,334,-462
447,328,-464
449,334,-462
439,348,-460
447,336,-468
438,324,-454
452,337,-469
448,341,-464
451,336,-461
448,325,-454
449,332,-457
450,321,-453
444,318,-459
