X,Y,Z
742,-907,1158
-167,-89,388
-127,1487,-232
944,403,734
539,-832,1095
-416,394,31
187,1484,-14
1064,-198,1018
189,-856,875
-268,1244,-188
664,1121,382
802,-965,1173
-210,82,300
-41,1460,-184
1053,159,855
357,-898,1007
-215,1470,-240
763,681,479
708,-941,1164
-343,232,145
118,1536,-154
1075,-75,1016
199,-859,802
-314,1226,-190
592,1081,268
868,-911,1189
-165,-64,406
-85,1526,-235
935,425,688
530,-844,1068
-456,503,32
318,1565,-13
982,-481,1134
66,-663,706
-205,1461,-234
748,644,528
822,-1007,1179
-253,9,290
-152,1597,-221
1023,254,857
442,-913,1069
-460,528,-28
376,1478,103
952,-557,1109
100,-595,706
-316,1374,-248
713,833,495
740,-933,1143
-358,196,173
129,1472,-80
1024,-179,1021
223,-792,882
-413,459,16
-297,777,-74
313,-510,969
124,1252,-175
501,1006,56
49,1290,-223
489,-543,1239
-320,713,300
-324,887,208
137,-333,1220
560,805,-177
662,-685,984
556,-542,1119
914,-88,230
-212,1289,357
785,113,-70
754,-708,624
989,-492,280
190,1064,-264
309,-287,1309
-9,1151,460
169,1005,-163
61,1077,135
-322,944,1235
741,-592,271
-358,1171,1198
150,941,2
679,316,-398
425,585,-234
-16,1026,792
611,-399,611
73,937,331
639,-406,148
-208,571,1436
-109,1076,1249
-78,1017,1213
-113,489,1363
-176,688,1396
-95,971,1245
-137,501,1413
-169,901,1335
-81,705,1271
-167,627,1385
-109,941,1276
-110,572,1340
-152,786,1331
-102,809,1274
-117,589,1352
-139,810,1329
-114,758,1296
-125,628,1329
-140,780,1325
-109,766,1310
-109,662,1320
-132,745,1323
-120,770,1319
-125,704,1305
-126,719,1327
-133,748,1318
-119,713,1317
-131,733,1311
-128,725,1310
-116,729,1319
-123,729,1319
-109,742,1326
-130,737,1306
-115,747,1314
-110,735,1313
-109,723,1334
-122,724,1313
-115,731,1319
-122,729,1317
-119,738,1316
-123,735,1322
-122,715,1319
-124,734,1314
-117,737,1313
-123,720,1319
-108,731,1319
-140,727,1318
-124,730,1321
-124,726,1323
-127,731,1314
-124,727,1316
-114,714,1323
-123,734,1324
-123,735,1307
-117,732,1317
-125,735,1316
-129,731,1313
-111,737,1317
-122,742,1319
-118,726,1319
-123,724,1319
-123,727,1309
-133,729,1317
-104,730,1309
-115,723,1308
-126,723,1313
-111,723,1312
-124,733,1316
-128,731,1320
-121,736,1323
-117,742,1313
-123,728,1322
-108,735,1329
-125,719,1317
-117,742,1330
-126,733,1322
-132,738,1319
-122,738,1317
-116,733,1323
-124,726,1325
-132,729,1320
-115,725,1318
-130,715,1315
-124,721,1324
-127,725,1326
-118,734,1321
-122,728,1319
-126,740,1322
-117,728,1310
-128,729,1314
-115,722,1314
-126,724,1316
-123,728,1319
-135,735,1321
-122,737,1313
-120,732,1322
-115,723,1308
-125,729,1316
-122,734,1324
-120,727,1320
-115,729,1309
-127,732,1312
-118,735,1323
-128,721,1301
-126,728,1312
-118,740,1305
-125,734,1316
-130,729,1320
-128,732,1315
-140,726,1309
-116,733,1325
-118,725,1321
-118,744,1316
-126,736,1316
-128,716,1318
-113,735,1313
-122,733,1319
-124,730,1327
-125,721,1304
-121,728,1319
-124,714,1323
-119,725,1315
-132,732,1313
-138,731,1323
-119,732,1320
-117,726,1312
-123,729,1320
-123,719,1313
-123,730,1323
-122,725,1331
-118,724,1330
-119,722,1312
-129,724,1326
-120,726,1330
-115,732,1312
-127,728,1328
-114,723,1331
-124,735,1325
-121,747,1319
-130,728,1311
-119,733,1317
-141,736,1318
-122,732,1316
-123,724,1314
-127,731,1328
-119,724,1331
-122,734,1314
-127,732,1326
-125,733,1315
-122,734,1317
-134,732,1323
-111,726,1326
-125,741,1312
-128,725,1312
-133,729,1325
-131,739,1310
-125,743,1312
-127,731,1313
-120,744,1310
-142,739,1314
-138,730,1317
-145,740,1323
-125,739,1320
-124,752,1303
-128,735,1308
-142,743,1313
-135,742,1317
-137,740,1315
-130,741,1315
-132,742,1304
-132,742,1315
-134,746,1320
-126,730,1302
-124,743,1308
-126,741,1315
-125,745,1320
-125,746,1311
-131,734,1319
-125,729,1317
-134,735,1308
-127,742,1320
-127,736,1320
-125,739,1315
-135,737,1319
-124,739,1312
-129,751,1314
-140,737,1325
-137,737,1317
-128,736,1314
-135,741,1316
-134,737,1308
-125,740,1317
-126,734,1319
-131,732,1314
-124,725,1317
-116,725,1322
-111,730,1319
-110,734,1324
-112,729,1332
-102,728,1338
-105,719,1332
-108,722,1336
-106,726,1345
-109,732,1327
-105,737,1353
-94,708,1340
-100,725,1342
-99,725,1349
-103,718,1350
-111,723,1351
-113,723,1350
-101,722,1339
-106,722,1337
-92,730,1348
-112,720,1348
-99,722,1345
-108,729,1346
-113,721,1346
-101,721,1349
-118,739,1350
-103,733,1343
-104,730,1340
-107,734,1353
-108,734,1346
-106,726,1347
-100,722,1349
-102,728,1350
-103,725,1349
-103,718,1352
-98,723,1359
-89,729,1351
-99,733,1361
-103,719,1352
-96,730,1354
-92,716,1361
-80,714,1362
-81,723,1371
-87,722,1379
-91,716,1386
-85,723,1395
-88,732,1407
-82,725,1418
-72,735,1422
-80,723,1420
